total_pegs,total_empty,total_holes,num_legal_moves,peg_ratio,mobile_pegs,immobile_pegs,jumpable_pegs,mobility_ratio,num_clusters,largest_cluster,edge_pegs,interior_pegs,avg_adjacent_pegs,avg_adjacent_empty,max_adjacent_empty,center_of_mass_r,center_of_mass_c,spread,min_pegs_reachable,max_pegs_reachable,best_move_r1,best_move_c1,best_move_r2,best_move_c2,worst_move_r1,worst_move_c1,worst_move_r2,worst_move_c2,board_rows,board_cols,board_state
15,3,18,3,0.833333,3,12,3,0.2,2,14,11,4,2.266667,0.6,2,1.8,2.266667,0.680179,2,9,1,1,3,1,1,1,3,1,5,5,0000000000000000000000000000000000000000000000000200000000000000020000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000010000000000000002000000000000000100000000000000020000000000000001000000000000000200000000000000000000000000000000000000000000000000000000000000
16,2,18,5,0.888889,5,11,5,0.3125,1,16,10,6,2.5,0.3125,1,2.125,2.4375,0.638697,1,10,1,0,1,2,1,0,1,2,5,6,000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000020000000000000002000000000000000100000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000200000000000000010000000000000000000000000000000000000000000000
17,1,18,2,0.944444,2,15,2,0.117647,1,17,12,5,2.470588,0.235294,1,1.882353,1.882353,0.707083,2,11,1,3,1,1,1,3,1,1,5,6,020000000000000002000000000000000200000000000000000000000000000000000000000000000000000000000000020000000000000001000000000000000200000000000000020000000000000000000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000200000000000000000000000000000000000000000000000000000000000000
15,3,18,3,0.833333,3,12,2,0.2,2,14,12,3,2.133333,0.533333,2,1.333333,2.666667,0.747112,3,11,1,3,1,1,1,5,3,5,4,6,000000000000000002000000000000000100000000000000020000000000000000000000000000000200000000000000020000000000000001000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000100000000000000
16,3,19,1,0.842105,1,15,1,0.0625,1,16,12,4,2.5,0.125,1,2.4375,4.1875,0.71293,4,11,4,4,4,2,4,4,4,2,6,7,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000200000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000001000000000000000100000000000000010000000000000002000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000
16,3,19,4,0.842105,4,12,4,0.25,1,16,11,5,2.375,0.4375,2,1.625,2.625,0.638795,1,13,2,0,2,2,0,2,2,2,5,6,000000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000100000000000000020000000000000002000000000000000200000000000000000000000000000000000000000000000100000000000000020000000000000001000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000000000000000000000000000000000000
17,2,19,2,0.894737,2,15,2,0.117647,2,16,12,5,2.235294,0.294118,1,1.941176,3.176471,0.727068,3,13,3,2,1,2,2,4,4,4,5,7,00000000000000000000000000000000020000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000020000000000000001000000000000000000000000000000020000000000000002000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000010000000000000000000000000000000000000000000000
16,3,19,7,0.842105,7,9,5,0.4375,2,9,12,4,2.25,0.5625,2,1.375,2.8125,0.600207,1,11,0,3,2,3,1,0,1,2,5,6,000000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000100000000000000020000000000000002000000000000000200000000000000000000000000000002000000000000000200000000000000010000000000000002000000000000000200000000000000000000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000
16,3,19,4,0.842105,4,12,4,0.25,1,16,14,2,2.375,0.375,1,3.6875,2.4375,0.889777,5,12,1,3,3,3,1,3,3,3,7,5,00000000000000000000000000000000010000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000001000000000000000200000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000010000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000
17,3,20,3,0.85,3,14,3,0.176471,2,16,10,7,2.470588,0.352941,2,2.647059,2.470588,0.74685,2,10,2,2,0,2,2,2,0,2,6,6,020000000000000001000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000001000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000
